EDRPOU,Name,Address,Contacts,KOATUU,Кількість відходів по ПЗУВ,Кількість відходів в тоннах,Відходи I класу,Відходи II класу,Відходи III класу,Відходи IV класу
40075815,"Акціонерне товариство ""Українська залізниця"" (регіональна філія ""Південна залізниця"" виробничий підрозділ ""Харківська дистанція захисних лісонасаджень"")","03680, м.Київ, вул.Тверська, 5",/057-724-12-16,6310137200,268266.60770000005,50361.61300000005,26.794200000000043,146.18979999999993,224.73630000000017,49963.89269999999
00131954,"Акціонерне товариство ""Харківобленерго""","61037, м. Харків, Слобідський район, вул. Плеханівська, 149",/740-14-98,6323155100,163993.932,3507.272,15.361000000000006,57.33799999999997,1124.1910000000003,2310.382
30019801,АТ «УКРТРАНСГАЗ» філія УМГ «КИЇВТРАНСГАЗ» Боярське ЛВУМГ КС Боярка,"01021, м. Київ, Узвіз Кловський, 9/1",ryadnovskaya-tn@utg.ua/(044)406-32-64,3222410300,137315.27389999994,8451.442599999998,11.866100000000003,121.10699999999999,185.97559999999996,8132.493899999999
00135390,Публічне акціонерне товариство «Укрнафта»,"04053, м. Київ, провулок Несторівський, будинок 3-5",Viktor.Novostavskyi@Ukrnafta.com/272-54-56,8039100000,125412.54560000013,18906.53279999999,14.106199999999998,25.214400000000044,477.69659999999885,18389.515599999966
30487219,"ТОВ ""АТБ-маркет""(відокремлений підрозділ магазин ""Продукти-829"")","49000, Дніпропетровська область, м. Дніпро, проспект О. Поля, 40 (м.Маріуполь,вул.Карпинського,69а )",zapototskaya@atbmarket.com/+380503850287,1412336600,118945.93800000017,87697.18900000009,6.251,0.0,0.0,87690.93800000014
23744453,"ПІІ ""МАКДОНАЛЬДЗ ЮКРЕЙН ЛТД"", заклад ресторанного господарства No66","02140, м. Київ, вул. Гришка, 7",UA-00066.store@ua.mcd.com/050 353 91 52,1210137500,117947.97050000002,58680.12700000003,7.631499999999998,41.39999999999999,9.375000000000004,58621.720499999996
40081195,"ВСП ""Рівненська дистанція колії"" АТ ""Українська залізниця""","м.Київ, вул.Тверська,5",ushurik@gmail.com/42 23 80,5610100000,100529.64980000001,8415.540199999998,11.908899999999992,63.476499999999994,18.505,8321.649799999994
38740702,"АЗС No 01-29 ""Берестечко""","43010, м.Луцьк, вул.Кременецька, 38, ф.а. - с.Кутрів, вул. Л.Українки, 1А Горохівського району",ruslan.yarmoshuk@wog.ua/(0332) 200984,0720883804,96947.41599999997,23447.803299999883,5.420299999999956,7.284,872.8329999999982,22562.265999999967
14291113,"ТОВ СП ""НІБУЛОН"" (філія ""Куп'янська"")","54002, Миколаївська область, м. Миколаїв, Каботажний спуск,1",rizhova@nibulon.com.ua/(0512)58-04-28,6310700000,95344.02100000004,16711.468000000008,9.543999999999995,59.30199999999997,27.150999999999996,16615.471000000005
40081200,ВП служби колії Корсунська дистанція колій РФ Одеська залізниця ПАТ Українська залізниця,"м. Київ, вул. Тверська, 5 (факт вул. Ярослава Мудрого, 383, м. Корсунь-Шевченківський)",pch8@ukr.net/0473531700,7122510100,83801.22499999998,4365.3392,6.744299999999996,88.73730000000006,29.412599999999983,4240.445000000001
40982829,"Товариство з обмеженою відповідальністю ""Фудком""","01103, м. Київ, Залізничне шосе,57",Rokhmaniiko_N@kishenya.ua/067-413-24-04,8036100000,80509.96400000005,45876.89200000001,6.927999999999997,0.0,0.0,45869.964000000014
40081237,"СП ""Криворізька дистанція колії"" РФ ""Придніпровська залізниця"" АТ ""Українська залізниця""","49038, Дніпропетровська обл.,м. Дніпро, пр. Дмитра Яворницького, будинок 108",L.Ternovska@dp.uz.gov.ua/068 899 00 78,1211036400,76383.49360000003,12880.967700000005,6.984099999999996,42.56239999999999,150.0076,12681.413600000003
