EDRPOU,Name,Address,Contacts,KOATUU,Wastes_pzuv, Wastes_tonnes,amount_I,amount_II,amount_III,amount_IV
38316777,"ТзОВ ""Альянс Маркет""","03186, м. Київ, вул. Соціалістична, буд. 5, корпус 2",//03244/ 3-99-9,4610136600,13106.9,3524.470500000001,1.9004999999999999,0.0,1.6700000000000004,3520.8999999999996
31570412,"АТ ""Укртранснафта"" ЛВДС ""Броди""","01010, м. Київ, вул. Московська, 32/2",/0326634362,4620386401,8511.299,1307.0911999999998,0.3236,8.07,31.828599999999998,1266.8690000000001
25560823,"ПАТ ""Укртрансгаз"" філія УМГ ""Львівтрансгаз"" Угерське ВВРіСП","01021, м. Київ, узвіз Кловський, 9/1",soroka-yn@utg.ua/0324588221,4611200000,8485.107,281.77200000000005,0.474,11.691,0.0,269.60699999999997
35519082,"ТОВ ""ГЛАС ТРЬОШ КИЇВ""","м. Київ, Оболонський р-н., вул. Лебединська, 4",/0445946776,4610137500,8059.076,6587.509,0.29300000000000004,0.0,0.14,6587.076
03187714,Львівське казенне експериментальне підприємство засобів пересування і протезування,"79052, м. Львів, вул. Рудненська, 10",office@protez.com.ua/0322676845,4610136300,7721.120000000001,446.176,1.056,4.0,0.0,441.11999999999995
00153133,"АТ ""Укртрансгаз"" філія УМГ ""Прикарпаттрансгаз"" Бібрське ЛВУМГ Комарнівський проммайданчик","01021, м. Київ, Узвіз Кловський, 9/1",/23143290,4600000000,7156.619000000001,434.83939999999996,0.8594,4.861,0.0,429.119
22338461,"КЗ ЛОР ""Підкамінська спеціальна загальноосвітня школа-інтернат I-III ступенів з поглибленою професійною підготовкою""","80670, Львівська обл., Бродівський р-н., смт. Підкамінь, вул. Незалежності, 53",/0679671481,4620355400,6440.0,1041.08,1.08,0.0,0.0,1040.0
00142800,"Управління нафтопромислового сервісу ПАТ ""Укрнафта"" (Бориславська дільниця)","04053, м. Київ, провулок Несторівський, 3-5",nadiia.tymkiv@ukrnafta.com/0347725374,4610300000,6316.719999999999,314.106,0.025000000000000005,11.612,1.699,300.77
31895961,"ТзОВ ""Об'єднана мода України""","79066, м. Львів, вул. Вулецька, 14",/067505264,4610136800,6044.6669999999995,1271.8020000000001,0.7130000000000001,2.422,0.0,1268.667
33775566,"ТОВ ""Технокап УА""","80356, Львівська обл., Жовківський р-н., с. Сопошин, вул. Вокзальна, 18",/25222305,4622788800,5883.1,4633.905,0.18,0.545,1.58,4631.6
22331884,"СП ""Галка Лтд""","79019, м. Львів, вул. Заповітна, 1",/2409167,4610137500,5833.2,5134.06,0.060000000000000005,0.7999999999999999,0.0,5133.2
00156630,"ПАТ ""Укртрансгаз"" БМУ--8 Фірми ""Укргазпромбуд""","01021, м. Київ, Узвіз Кловський, 9/1",/0324558491,4625388400,5688.67,578.657,0.036000000000000004,9.736,1.4649999999999999,567.42
20760948,"МРЦ МВС України ""Перлина Прикарпаття""","82200, Львівська обл., м. Трускавець, вул. С. Бандери, 71",/0000000,4611500000,5642.15,776.096,0.936,0.36,0.15000000000000002,774.65
01267395,"ТДВ ""Червоноградський завод металоконструкцій""",м. Червоноград вул. Львівська 53,kseniabkb@ukr.net/0953565709,4611800000,5572.638,2824.7529999999997,0.455,0.0,9.66,2814.638
00278793,"ПАТ ""Картонно-паперова компанія""","79024, м. Львів, вул. Ковельська, 109",/0000000,4610137500,5570.82,2882.528,0.40800000000000003,1.3,0.0,2880.8199999999997
22347313,"ПрАТ СГК ""Дніпро-Бескид""","ЛЬвівська обл., м. Трускавець, вул. Дрогобицька, 33",/0324766191,4611500000,5491.0,2402.32,0.5399999999999999,0.78,0.0,2401.0
39306005,"ТОВ ""СУКП ""Укрлісхолдинг""","82042, Львівська обл., Старосамбірський р-н., м. Добромиль, вул. Галицька, 92/2",/0672823123,4625110300,5445.54,5445.54,0.0,0.0,0.0,5445.54
37059699,"ТзОВ ""Євро-Комерс""","80100, Львівська обл., м. Червоноград, вул. Львівська, 19",/032494900,4611800000,5429.24,4237.4154,0.0044,2.3360000000000003,0.085,4234.99
30648854,"ТзОВ ""Снєжка-Україна""","81000, Львівська обл., м. Яворів, вул. Привокзальна, 1А",/03225978151,4625810100,5317.464,707.4342,0.1392,4.851,30.480000000000004,671.9639999999999
31754918,"ТзОВ ""Факро Орбіта""","81050, Львівська обл., Яворівський р-н., смт. Шкло, вул. Сагайдачного, 48",Sekretariat@orbita-szklo.com.ua/0325971220,4625856500,5198.5115,3668.8175,0.306,0.0,0.0,3668.5115
23269489,"ТзОВ НВП ""Сіріон""","79039, м. Львів, вул. Золота, 10А/4",/0322445134,4610137500,5028.7426000000005,1705.5893999999998,0.07350000000000001,5.9233,0.0,1699.5926
33797665,"ТОВ ""Діскаве - бурове обладнання Україна""","82400, Львівська обл., м. Стрий, вул. Яворницького, 41",mykola.kuchak@discoveryde.com/7-70-41,4611200000,4900.676,2527.4290000000005,0.235,2.008,4.01,2521.176
35413712,"ТОВ ""Кен-Пак Яворів""","81000, Львівська обл., м. Яворів, вул. Маковея, буд. 62",nzhurba@canpack.com.ua/+380673100766,4625800000,4633.83,3412.2806,0.1106,1.3400000000000003,0.0,3410.83
05434134,"Товариство з додатковою відповідальністю ""Миколаївцемремонт""","81600, Львівська обл., м. Миколаїв, вул. Стрийське шосе, 3",mykolayivtsemrem@ukr.net/0976949775,4623010100,4542.982,3780.4694999999997,0.0045000000000000005,1.483,0.0,3778.982
02007101,"КНП ЛОР ""Західноукраїнський спеціалізований дитячий медичний центр""","м. Львів, вул. Дністерська, 27",/0322703479,4610136800,4438.3369999999995,897.3435000000001,0.5565,0.9299999999999999,6.02,889.837
33182883,"Приватне акціонерне товариство "" Роздільський керамічний завод""","81650 Львівська область , Миколаївський район, смт. Розділ , вул Промисова 3",radely@ukr.net/0671113119,4623055400,4417.379999999999,651.4952000000001,0.2182,5.356999999999999,0.04,645.8800000000001
30823262,"ТзОВ ""Львівська ізоляторна компанія""","79066, м. Львів, вул. Зелена, 301",vmamchak@lic.ua/0504367829,4610136600,4407.92,430.75,0.5700000000000001,2.26,0.0,427.91999999999996
31148107,ПАФ ім. М. Шашкевича,"80252, Львівська обл., Радехівський р-н., с. Вузлове, вул. Львівська, 14",/0325531149,4623987201,4399.061,87.70100000000001,0.0,8.64,0.0,79.061
33465109,"ДП ""Амбієнте Ферніче Україна""","80431, Львівська обл., Кам9янка-Бузький р-н., с. Колоденці, вул. І. Франка, 11а",/0322970597,4622183304,4357.99,1359.0800999999997,0.5901,0.0,1.0,1357.49
33469695,"ТзОВ ""Вінал Агро""","81750, Львівська обл., Жидачівський р-н., м. Ходорів, вул. Шевченка, 132",/0323952030,4621510500,4292.491,340.18,0.009000000000000001,7.520000000000001,3.16,329.491
39224567,"ТзОВ ""ЛЬВІВПАБ""","79008, м. Львів, вул. Римлянина, буд. 1",/0000000,4610137200,4278.73,1150.4285,0.2885,0.0,34.41,1115.73
30583064,"ДП ""СОРЕНС І ХААР"" ДК ""КОНЦЕПТ ПАРТНЕРС""","79039, м. Львів, вул. Шевченка, 134",/0000000,4610137500,4271.204,332.7257,0.4857000000000001,3.026,0.01,329.20400000000006
22351881,"ТзОВ ""Жидачівське заводоуправління цегельних заводів""","81700, Львівська обл., Жидачівський р-н., м. Жидачів, вул. Заводська, 2",/0323931506,4621510100,4230.976000000001,2746.3425,0.0675,2.2989999999999995,0.0,2743.976
05468127,"ПАТ ""Стрийська швейна фабрика ""Стрітекс""","82400, Львівська обл., м. Стрий, вул. Новаківського, 5",/024552104,4600000000,4102.5,903.1400000000001,0.6399999999999999,0.0,0.0,902.5
19326017,Львівський РСП Украероруху,"79040, м.Львів, вул.Любінська, 217",a-test@ukr.net/(032)297-21-1,4610136300,4100.8164,478.251,0.3798,3.4548000000000005,0.0,474.41640000000007
00309524,"ТзДВ ""ВЕСНА-ЗАХІД""","79037, м. Львів, вул. Б. Хмельницького, 212",/0000000,4610137200,4092.966,118.979,0.675,0.0,12.238,106.066
03448630,"ТзДВ ""Шляхове ремонтно-будівельне управління No65""","79058, м. Львів, пр. Чорновола, 63",/0322358537,4610137500,4062.86,981.0554000000001,0.0014,6.103999999999999,0.59,974.36
01996711,"КНП ЛОР ""Львівська обласна клінічна лікарня""","79010, м. Львів, вул. Чернігівська, 7",/0322755020,4610137200,4040.76,2385.0912,0.3312,0.0,0.0,2384.7599999999998
32475074,"ТзОВ ""Яблуневий дар""","81500, Львівська обл., Городоцький р-н., м. Городок, вул. Львівська, 274 а",a.barniak@tbfruit.com/0673630256,4620910100,3996.7989999999995,1758.4604000000002,0.0914,3.5700000000000003,0.0,1754.799
30322940,"ПрАТ ""Трускавецькурорт""","82200, Львівська обл., м. Трускавець, бульвар Ю. Дрогобича, 2",/0324760000,4611500000,3955.092,855.82,0.608,0.12,0.0,855.0920000000001
07676441,"ДП ""Львівський радіоремонтний завод""","79019, м. Львів, вул. Жовківська, 11",/0322523248,4610137500,3934.0,599.76,0.36,3.04,0.36,596.0
36469441,"ТОВ ""Юніко-Істейт""","01135, м. Київ, вул. Златоустівська, буд. 32, кв. 35",/0674026704,4610136800,3908.96,994.543,0.5830000000000001,0.0,0.0,993.96
36152228,"ТзОВ ""Торговий Дім ""Міст Експрес""","79035, м. Львів, вул. Зелена, 147",/0504311908,4610100000,3761.936,23.316999999999997,0.34500000000000003,4.036,0.0,18.935999999999996
23972496,"СП ТОВ ""СФЕРОС-ЕЛЕКТРОН""","79069, м. Львів, вул. Шевченка, 315",/0322913753,4610137500,3728.72,494.99250000000006,0.6224999999999999,0.2,0.45,493.72
31267619,"ТзОВ ""ЙОХА-УКРАЇНА""","81053, Львівська обл., Яворівський р-н., м. Новояворівськ, вул. Мазепи, 8",/0325960210,4625810500,3711.4030000000002,1226.4001,0.4971,0.0,0.0,1225.903
34167494,ЛОР ’’ЛЬВІВСЬКИЙ ОБЛАСНИЙ ЦЕНТР ЕКСТРЕНОЇ МЕДИЧНОЇ ДОПОМОГИ ТА МЕДИЦИНИ КАТАСТРОФ ’’,"79059, м.Львів, вул.І.Миколайчука,9",borys0@ukr.net/032224-91-03,4610137500,3695.295,218.26299999999998,0.0,6.968,0.0,211.29499999999996
33525073,"Товариство з обмеженою відповідальністю ""Енергія - Новий Розділ""","81652, Львівська область, м. Новий Розділ, вул. Грушевського, 37",onsnr18@gmail.com/03261-2-63-49,4610800000,3685.821,1037.644,0.22,3.1029999999999998,0.0,1034.321
39135210,"ТОВ ""Меблевий комбінат ""Стрий""","82468, Львівська область, Стрийський район, село Гірне, вулиця Шевченка, 447",lysychkomks@gmail.com/0504304931,4625300000,3672.971,2846.6270000000004,0.0,1.6559999999999997,0.0,2844.971
23883485,"ТзОВ ""Нове Плюс""","м. Львів, вул. Зелена, 149/корпус 8А",/240-53-44,4610136800,3664.164,121.04799999999997,0.024,6.860000000000001,0.0,114.16399999999999
32764382,"ТзОВ ""Сервісний центр ""Діамант""","81110, Львівська обл., Пустомитівський р-н., с. Зимна Вода, вул. Городоцька, буд. 16",/0322244220,4610136300,3643.875,220.2215,0.1965,0.4,45.75,173.875
19338138,"Приватне акціонерне товариство ""ЛАКМА""","79060, м.Львів, вул.Підстригача Я., академіка, буд 3, кв 55",lacma@lacma.net/(032)2593324,4610136900,3607.685,792.9388000000001,0.1538,4.1,0.0,788.685
00309507,"ТзДВ ""Львівський маяк""","79024, м. Львів, вул. Промислова, буд. 27",/0322948850,4610137500,3556.4539999999997,782.0089999999999,0.555,0.0,0.0,781.4540000000001
37685117,"ТОВ ""ЕІМО""","81400, Львівська обл., м. Самбір, вул. Промислова, буд. 6Б",/0323660520,4610900000,3505.466,3505.466,0.0,0.0,0.0,3505.466
22412950,"Товариство з обмеженою відповідальністю ""Спільне українсько-канадське підприємство ""РосанПак""","81130, Львівська область, Пустомитівський район, село Сокільники, вул. Львівська бічна, 3",office@rosanpak.com/(032)294-95-94,4623686401,3499.841,325.743,0.442,1.93,0.03,323.341
14369134,"ТзОВ ""СП ""Росан""","79035, м. Львів, вул. Зелена, 147",/0504311908,4610100000,3453.6602,360.36839999999995,0.2762,3.4319999999999995,0.0,356.6602
19165985,"ТОВ ""Слохинівський цегельний завод""","82050, Львівська обл., Старосамбірський р-н., с. Слохині",/0323824552,4625184700,3440.0,3440.0,0.0,0.0,0.0,3440.0
01996639,Комунальне неприбуткове підприємство «Клінічна лікарня швидкої медичної допомоги м.Львова»,"79059, м.Львів, вул..Миколайчука,9",borys0@ukr.net/032 252-75-90,4610137500,3415.44,1975.7280000000003,0.28800000000000003,0.0,0.0,1975.4400000000003
39699776,"ТзОВ ""ЕН СІ ІнжинірингУкраїна""","м.Львів, вул. Садова , 9А",yaroslav.melko@gmail.com/032 245 2655,4610136300,3412.9379,383.73789999999997,0.030000000000000002,5.77,0.0,377.9379
00740599,"ПрАТ ""Львівський локомотиворемонтний завод""","79018, м. Львів, вул. Залізнична, 1А",/0322332174,4610136300,3406.752,309.32800000000003,0.07,5.506,0.0,303.752
24981630,"Сколівський військовий лісгосп ДП ""Івано-Франківського ВЛПК""","82600, Львівська обл., м. Сколе, вул. Героїв Маківки, 28",sk_vlg_bugalter@meta.ua/0325421812,4624510100,3343.04,2634.46,0.0,1.4200000000000002,0.0,2633.04
